c x ; y coordenates
0.080046608;0.11696814
0.685315979;2.493019578
0.685315979;2.368519578
0.555315979;2.493019578
0.474645683;2.376617515
0.552565979;2.244019578
0.64725;2.2175
0.784;0.107958333
0.784;0.232458333
0.784;0.340416667
0.784;0.464916667
0.784;0.572875
0.784;0.686803571
0.784;0.794761905
0.784;0.908690476
0.784;1.01664881
0.784;1.130577381
0.784;1.238535714
0.784;1.352464286
0.784;1.460422619
0.784;1.57435119
0.784;1.682309524
0.784;1.796238095
0.784;1.904196429
0.784;2.018125
0.784;2.126083333
0.784;2.250583333
0.784;2.358541667
0.784;2.483041667
0.593;-0.05
0.482;-0.05
0.352;-0.05
0.241;-0.05
0.838;0.057346154
0.838;-0.05
0.834;-0.05
0.723;-0.05
0.111;-0.05
0.838;0.272650641
0.838;0.165304487
0.838;0.380608974
0.838;0.487955128
0.838;0.595913462
0.838;0.703259615
0.838;0.811217949
0.838;0.918564103
0.838;1.026522436
0.838;1.13386859
0.838;1.241826923
0.838;1.349173077
0.838;1.45713141
0.838;1.564477564
0.838;1.672435897
0.838;1.779782051
0.838;1.887740385
0.838;1.995086538
0.838;2.103044872
0.838;2.210391026
0.838;2.318349359
0.838;2.425695513
0.838;2.641
0.838;2.533653846
0.834;2.641
0.241;2.641
0.111;2.641
0.482;2.641
0.352;2.641
0.723;2.641
0.593;2.641
0.617166667;0.644428571
0.628574074;0.856888889
0.629841564;1.075892416
0.629982396;1.294035665
0.629998044;1.51446428
0.631916449;1.737924603
0.623129605;1.955412257
0.26025;0.523
0.29925;0.523
0.26025;0.636928571
0.3205;0.523
0.45325;0.523
0.37075;0.548
0.49725;0.523
0.37075;0.654785714
0.37075;0.761571429
0.26025;0.857642857
0.26025;0.743714286
0.37075;0.868357143
0.37075;0.975142857
0.26025;1.078357143
0.26025;0.964428571
0.37075;1.081928571
0.26025;1.185142857
0.37075;1.188714286
0.26025;1.405857143
0.26025;1.512642857
0.37075;1.509071429
0.37075;1.402285714
0.37075;1.615857143
0.26025;1.626571429
0.37075;1.722642857
0.37075;1.829428571
0.26025;1.847285714
0.26025;1.733357143
0.37075;1.936214286
0.37075;2.043
0.26025;2.068
0.26025;1.954071429
0.45325;2.068
0.49725;2.068
0.3205;2.068
0.29925;2.068
0.26025;1.299071429
0.37075;1.2955
0.548583333;0.596214286
0.548583333;0.703
0.704287037;0.905301587
0.704287037;0.791373016
0.554287037;0.809230159
0.554287037;0.916015873
0.704920782;1.128731922
0.704920782;1.014803351
0.554920782;1.025517637
0.554920782;1.132303351
0.704991198;1.237803547
0.704991198;1.351732118
0.554991198;1.34816069
0.554991198;1.241374976
0.554999022;1.565160712
0.554999022;1.458374997
0.704999022;1.461946426
0.704999022;1.575874997
0.555958225;1.783676587
0.555958225;1.676890873
0.705958225;1.687605158
0.705958225;1.80153373
0.568814803;2.024206129
0.701564803;2.024206129
0.701564803;1.910277557
0.62287037;0.75065873
0.698583333;0.685142857
0.629207819;0.966390653
0.62991198;1.184964041
0.62999022;1.404249973
0.630957247;1.626194441
0.551564803;1.999206129
0.565833333;0.571214286
0.698583333;0.571214286
0.551564803;1.892420414
0.627523027;1.84666843
