1	2	3	16	29	15	
29	28	27	14	1	15	
3	4	5	18	31	17	
31	30	29	16	3	17	
5	6	7	20	33	19	
33	32	31	18	5	19	
7	8	9	22	35	21	
35	34	33	20	7	21	
9	10	11	24	37	23	
37	36	35	22	9	23	
11	12	13	26	39	25	
39	38	37	24	11	25	
27	28	29	42	55	41	
55	54	53	40	27	41	
29	30	31	44	57	43	
57	56	55	42	29	43	
31	32	33	46	59	45	
59	58	57	44	31	45	
33	34	35	48	61	47	
61	60	59	46	33	47	
35	36	37	50	63	49	
63	62	61	48	35	49	
37	38	39	52	65	51	
65	64	63	50	37	51	
53	54	55	68	81	67	
81	80	79	66	53	67	
55	56	57	70	83	69	
83	82	81	68	55	69	
57	58	59	72	85	71	
85	84	83	70	57	71	
59	60	61	74	87	73	
87	86	85	72	59	73	
61	62	63	76	89	75	
89	88	87	74	61	75	
63	64	65	78	91	77	
91	90	89	76	63	77	
79	80	81	94	107	93	
107	106	105	92	79	93	
81	82	83	96	109	95	
109	108	107	94	81	95	
83	84	85	98	111	97	
111	110	109	96	83	97	
85	86	87	100	113	99	
113	112	111	98	85	99	
87	88	89	102	115	101	
115	114	113	100	87	101	
89	90	91	104	117	103	
117	116	115	102	89	103	
105	106	107	120	133	119	
133	132	131	118	105	119	
107	108	109	122	135	121	
135	134	133	120	107	121	
109	110	111	124	137	123	
137	136	135	122	109	123	
111	112	113	126	139	125	
139	138	137	124	111	125	
113	114	115	128	141	127	
141	140	139	126	113	127	
115	116	117	130	143	129	
143	142	141	128	115	129	
131	132	133	146	159	145	
159	158	157	144	131	145	
133	134	135	148	161	147	
161	160	159	146	133	147	
135	136	137	150	163	149	
163	162	161	148	135	149	
137	138	139	152	165	151	
165	164	163	150	137	151	
139	140	141	154	167	153	
167	166	165	152	139	153	
141	142	143	156	169	155	
169	168	167	154	141	155	
