c material index;"source J[A/m2] C[Coulomb]"""
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
1;1000000
1;1000000
1;1000000
1;1000000
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
1;1000000
1;1000000
1;1000000
1;1000000
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
